2025-08-23 14:40:18,151 - INFO - ========= Initializing RKLLM model =========
2025-08-23 14:40:24,918 - INFO - RKLLM Model has been initialized successfully!
2025-08-23 14:40:24,918 - INFO - Simple RKLLM Streaming Server with Jinja2 Template starting...
2025-08-23 14:40:24,918 - INFO - Server starting on port 8080
2025-08-23 14:40:24,926 - INFO - [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:8080
 * Running on http://10.0.0.17:8080
2025-08-23 14:40:24,926 - INFO - [33mPress CTRL+C to quit[0m
2025-08-23 14:40:56,978 - INFO - Health check request from 10.0.0.61
2025-08-23 14:43:25,855 - INFO - [20250823_144258_853] Streaming chunk 500, content: i...
2025-08-23 14:43:26,109 - INFO - [20250823_144258_853] Streaming chunk 510, content: o...
2025-08-23 14:43:26,613 - INFO - [20250823_144258_853] Streaming chunk 520, content: l...
2025-08-23 14:43:27,362 - INFO - [20250823_144258_853] Streaming chunk 530, content: n...
2025-08-23 14:43:27,871 - INFO - [20250823_144258_853] Streaming chunk 540, content: r...
2025-08-23 14:43:28,618 - INFO - [20250823_144258_853] Streaming chunk 550, content:  ...
2025-08-23 14:43:28,869 - INFO - [20250823_144258_853] Streaming chunk 560, content: r...
2025-08-23 14:43:29,123 - INFO - [20250823_144258_853] Streaming chunk 570, content: r...
2025-08-23 14:43:29,621 - INFO - [20250823_144258_853] Streaming chunk 580, content: I...
2025-08-23 14:43:31,639 - INFO - [20250823_144258_853] Streaming chunk 590, content: '...
2025-08-23 14:43:32,141 - INFO - [20250823_144258_853] Streaming chunk 600, content: t...
2025-08-23 14:43:33,651 - INFO - [20250823_144258_853] Streaming chunk 610, content: m...
2025-08-23 14:43:34,911 - INFO - [20250823_144258_853] Streaming chunk 620, content: t...
2025-08-23 14:43:36,187 - INFO - [20250823_144258_853] Streaming chunk 630, content: m...
2025-08-23 14:43:37,446 - INFO - [20250823_144258_853] Streaming chunk 640, content:  ...
2025-08-23 14:43:38,453 - INFO - [20250823_144258_853] Streaming chunk 650, content: p...
2025-08-23 14:43:39,212 - INFO - [20250823_144258_853] Streaming chunk 660, content: e...
2025-08-23 14:43:39,469 - INFO - [20250823_144258_853] Streaming chunk 670, content: e...
2025-08-23 14:43:39,965 - INFO - [20250823_144258_853] Streaming chunk 680, content: s...
2025-08-23 14:43:40,728 - INFO - [20250823_144258_853] Streaming chunk 690, content:  ...
2025-08-23 14:43:42,492 - INFO - [20250823_144258_853] Streaming chunk 700, content: 
...
2025-08-23 14:43:43,254 - INFO - [20250823_144258_853] Streaming chunk 710, content:  ...
2025-08-23 14:43:43,512 - INFO - [20250823_144258_853] Streaming chunk 720, content: e...
2025-08-23 14:43:44,010 - INFO - [20250823_144258_853] Streaming chunk 730, content:  ...
2025-08-23 14:43:44,268 - INFO - [20250823_144258_853] Streaming chunk 740, content:  ...
2025-08-23 14:43:44,776 - INFO - [20250823_144258_853] Streaming chunk 750, content: e...
2025-08-23 14:43:45,285 - INFO - [20250823_144258_853] Streaming chunk 760, content: u...
2025-08-23 14:43:45,797 - INFO - [20250823_144258_853] Streaming chunk 770, content: h...
2025-08-23 14:43:46,300 - INFO - [20250823_144258_853] Streaming chunk 780, content: h...
2025-08-23 14:43:46,803 - INFO - [20250823_144258_853] Streaming chunk 790, content: i...
2025-08-23 14:43:47,315 - INFO - [20250823_144258_853] Streaming chunk 800, content: r...
2025-08-23 14:43:47,825 - INFO - [20250823_144258_853] Streaming chunk 810, content: i...
2025-08-23 14:43:48,077 - INFO - [20250823_144258_853] Streaming chunk 820, content: o...
2025-08-23 14:43:48,580 - INFO - [20250823_144258_853] Streaming chunk 830, content: h...
2025-08-23 14:43:49,079 - INFO - [20250823_144258_853] Streaming chunk 840, content:  ...
2025-08-23 14:43:49,585 - INFO - [20250823_144258_853] Streaming chunk 850, content:  ...
2025-08-23 14:43:49,836 - INFO - [20250823_144258_853] Streaming chunk 860, content: r...
2025-08-23 14:43:50,098 - INFO - [20250823_144258_853] Streaming chunk 870, content: r...
2025-08-23 14:43:50,614 - INFO - [20250823_144258_853] Streaming chunk 880, content: i...
2025-08-23 14:43:51,120 - INFO - [20250823_144258_853] Streaming chunk 890, content: 
...
2025-08-23 14:43:51,882 - INFO - [20250823_144258_853] Streaming chunk 900, content: I...
2025-08-23 14:43:52,638 - INFO - [20250823_144258_853] Streaming chunk 910, content: e...
2025-08-23 14:43:52,900 - INFO - [20250823_144258_853] Streaming chunk 920, content: t...
2025-08-23 14:43:53,409 - INFO - [20250823_144258_853] Streaming chunk 930, content: i...
2025-08-23 14:43:53,664 - INFO - [20250823_144258_853] Streaming chunk 940, content: m...
2025-08-23 14:43:54,166 - INFO - [20250823_144258_853] Streaming chunk 950, content: i...
2025-08-23 14:43:54,418 - INFO - [20250823_144258_853] Streaming chunk 960, content: i...
2025-08-23 14:43:54,923 - INFO - [20250823_144258_853] Streaming chunk 970, content:  ...
2025-08-23 14:43:55,692 - INFO - [20250823_144258_853] Streaming chunk 980, content: m...
2025-08-23 14:43:55,955 - INFO - [20250823_144258_853] Streaming chunk 990, content: e...
2025-08-23 14:43:56,464 - INFO - [20250823_144258_853] Streaming chunk 1000, content: i...
2025-08-23 14:43:57,220 - INFO - [20250823_144258_853] Streaming chunk 1010, content:  ...
2025-08-23 14:43:57,724 - INFO - [20250823_144258_853] Streaming chunk 1020, content:  ...
2025-08-23 14:43:58,740 - INFO - [20250823_144258_853] Streaming chunk 1030, content: "...
